year,total_works,n_scopus,n_wos,n_medline,n_wos_after_deindex,n_scopus_after_deindex,n_medline_after_deindex,n_scopus_deindex,n_wos_deindex,n_medline_deindex,n_wos_journals,n_scopus_journals,n_medline_journals,n_journals,n_retracted,n_retracted_journals,n_paper_mill,n_paper_mill_journals,n_paper_mill_retracted,n_wos_paper_mill_journals,n_paper_mill_wos,n_scopus_paper_mill_journals,n_paper_mill_scopus,n_medline_paper_mill_journals,n_paper_mill_medline
1867,15005,11191,10392,9678,0,0,0,0,457,4131,56,67,24,126,0,0,0,0,0,0,0,0,0,0,0
1868,15335,11094,10293,9869,0,0,0,0,380,4035,60,74,31,132,0,0,0,0,0,0,0,0,0,0,0
1869,14595,10286,9381,9016,0,0,0,0,341,2580,61,78,30,137,0,0,0,0,0,0,0,0,0,0,0
1870,16987,12922,11714,11462,0,0,0,0,455,4420,59,75,33,140,0,0,0,0,0,0,0,0,0,0,0
1871,15495,11066,10034,9976,0,0,0,0,403,2525,64,76,29,133,0,0,0,0,0,0,0,0,0,0,0
1872,18451,13258,12214,12178,0,0,0,0,501,4428,67,78,33,151,0,0,0,0,0,0,0,0,0,0,0
1873,19519,13765,12711,12324,0,0,0,0,578,4488,80,90,37,168,0,0,0,0,0,0,0,0,0,0,0
1874,19376,13800,12613,12462,0,0,0,0,770,4850,82,89,37,168,0,0,0,0,0,0,0,0,0,0,0
1875,19754,13898,12842,12519,0,0,0,0,706,4913,81,95,37,170,0,0,0,0,0,0,0,0,0,0,0
1876,26331,16249,14787,14796,0,0,0,0,612,5007,82,96,39,175,0,0,0,0,0,0,0,0,0,0,0
1877,22589,17028,15550,14939,0,0,0,0,769,4636,94,106,42,186,0,0,0,0,0,0,0,0,0,0,0
1878,23313,17368,15890,15340,0,0,0,0,815,4931,99,111,47,195,0,0,0,0,0,0,0,0,0,0,0
1879,24698,18672,17268,16411,0,0,0,0,832,5526,111,120,52,212,0,0,0,0,0,0,0,0,0,0,0
1880,29095,22855,21582,20658,0,0,0,0,870,8463,117,129,49,227,0,0,0,0,0,0,0,0,0,0,0
1881,25794,19727,17958,17275,0,0,0,0,839,5132,116,130,51,228,0,0,0,0,0,0,0,0,0,0,0
1882,25515,19010,17400,16212,0,0,0,25,847,5678,124,136,54,242,0,0,0,0,0,0,0,0,0,0,0
1883,26796,19850,18406,17471,0,0,0,26,971,4470,122,134,57,256,0,0,0,0,0,0,0,0,0,0,0
1884,28406,21211,19575,18348,0,0,0,15,1145,5074,125,139,57,263,0,0,0,0,0,0,0,0,0,0,0
1885,29097,20898,20079,19082,0,0,0,14,1901,5249,132,145,60,283,0,0,0,0,0,0,0,0,0,0,0
1886,30478,21869,20969,19353,0,0,0,18,2065,5325,130,148,59,276,0,0,0,0,0,0,0,0,0,0,0
1887,33019,23325,22454,20636,0,0,0,17,2408,5201,153,170,66,308,0,0,0,0,0,0,0,0,0,0,0
1888,34910,24759,23846,21661,0,0,0,13,2549,6014,164,180,70,317,0,0,0,0,0,0,0,0,0,0,0
1889,35961,26064,24332,21297,0,0,0,20,1794,5847,164,184,72,328,0,0,0,0,0,0,0,0,0,0,0
1890,36997,27124,25175,21909,0,0,0,15,1786,5727,175,194,74,330,0,0,0,0,0,0,0,0,0,0,0
1891,36000,26730,25238,21204,0,0,0,15,1953,5740,174,198,76,328,0,0,0,0,0,0,0,0,0,0,0
